lastUpdate,version,id,name,terminalName,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks,latestUpdateTime
1.46187E+12,2,38,Nannie Helen Burroughs & Minnesota Ave NE,31704,1.46187E+12,38.901385,-76.941877,TRUE,FALSE,0,,FALSE,TRUE,6,5,1.46184E+12
1.46187E+12,2,39,Anacostia Metro,31801,1.46187E+12,38.862669,-76.994637,TRUE,FALSE,0,,FALSE,TRUE,5,5,1.46186E+12
1.46187E+12,2,40,Good Hope Rd & MLK Ave SE,31802,1.46187E+12,38.867373,-76.988039,TRUE,FALSE,0,,FALSE,TRUE,7,4,1.46185E+12
1.46187E+12,2,41,19th & E Street NW,31206,1.46187E+12,38.8952,-77.0436,TRUE,FALSE,0,,FALSE,TRUE,8,3,1.46186E+12
1.46187E+12,2,42,4th & W St NE,31500,1.46187E+12,38.919077,-77.000648,TRUE,FALSE,0,,FALSE,TRUE,8,7,1.46185E+12
1.46187E+12,2,43,10th & U St NW,31111,1.46187E+12,38.9172,-77.0259,TRUE,FALSE,0,,FALSE,TRUE,4,11,1.46186E+12
1.46187E+12,2,44,Georgia Ave and Fairmont St NW,31207,1.46187E+12,38.9249,-77.0222,TRUE,FALSE,0,,FALSE,TRUE,8,3,1.46186E+12
1.46187E+12,2,45,1st & N St  SE,31209,1.46187E+12,38.8743,-77.0057,TRUE,FALSE,0,,FALSE,TRUE,9,29,1.46184E+12
1.46187E+12,2,46,20th St & Florida Ave NW,31110,1.46187E+12,38.9154,-77.0446,TRUE,FALSE,0,,FALSE,TRUE,6,9,1.46187E+12
1.46187E+12,2,47,7th & T St NW,31109,1.46187E+12,38.9155,-77.0222,TRUE,FALSE,0,,FALSE,TRUE,10,3,1.46186E+12
1.46187E+12,2,48,23rd & Eads St,31013,1.46187E+12,38.853531,-77.053509,TRUE,FALSE,0,,FALSE,TRUE,3,12,1.46185E+12
1.46187E+12,2,49,M St & New Jersey Ave SE,31208,1.46187E+12,38.8763,-77.0037,TRUE,FALSE,0,,FALSE,TRUE,6,9,1.46187E+12
1.46187E+12,2,51,Massachusetts Ave & Dupont Circle NW,31200,1.46187E+12,38.9101,-77.0444,TRUE,FALSE,0,,FALSE,TRUE,19,24,1.46187E+12
1.46187E+12,2,52,1st & M St NE,31603,1.46187E+12,38.9057,-77.0056,TRUE,FALSE,0,,FALSE,TRUE,3,10,1.46187E+12
1.46187E+12,2,53,21st & M St NW,31212,1.46187E+12,38.90534,-77.046774,TRUE,FALSE,0,,FALSE,TRUE,9,10,1.46187E+12
1.46187E+12,2,54,17th & K St NW,31213,1.46187E+12,38.90276,-77.03863,TRUE,FALSE,0,,FALSE,TRUE,10,13,1.46187E+12
1.46187E+12,2,55,3rd & H St NW,31604,1.46187E+12,38.899408,-77.015289,TRUE,FALSE,0,,FALSE,TRUE,2,12,1.46185E+12
1.46187E+12,2,56,3rd & D St SE,31605,1.46187E+12,38.8851,-77.0023,TRUE,FALSE,0,,FALSE,TRUE,6,5,1.46186E+12
1.46187E+12,2,57,Potomac & Pennsylvania Ave SE,31606,1.46187E+12,38.8803,-76.9862,TRUE,FALSE,0,,FALSE,TRUE,7,8,1.46186E+12
1.46187E+12,2,58,14th & D St SE,31607,1.46187E+12,38.884,-76.9861,TRUE,FALSE,0,,FALSE,TRUE,10,5,1.46186E+12
1.46187E+12,2,59,17th & Corcoran St NW,31214,1.46187E+12,38.9121,-77.0387,TRUE,FALSE,0,,FALSE,TRUE,11,6,1.46187E+12
1.46187E+12,2,60,Van Ness Metro / UDC,31300,1.46187E+12,38.944551,-77.063896,TRUE,FALSE,0,,FALSE,TRUE,9,6,1.46187E+12
1.46187E+12,2,61,Florida Ave & R St NW,31503,1.46187E+12,38.9126,-77.0135,TRUE,FALSE,0,,FALSE,TRUE,6,8,1.46186E+12
1.46187E+12,2,62,8th & Eye St SE / Barracks Row,31608,1.46187E+12,38.8792,-76.9953,TRUE,FALSE,0,,FALSE,TRUE,6,5,1.46186E+12
1.46187E+12,2,63,Ward Circle / American University,31301,1.46187E+12,38.938736,-77.087171,TRUE,FALSE,0,,FALSE,TRUE,9,6,1.46187E+12
1.46187E+12,2,64,Wisconsin Ave & Newark St NW,31302,1.46187E+12,38.934881,-77.072755,TRUE,FALSE,0,,FALSE,TRUE,8,11,1.46187E+12
1.46187E+12,2,65,14th St Heights / 14th & Crittenden St NW,31402,1.46187E+12,38.947774,-77.032818,TRUE,FALSE,0,,FALSE,TRUE,5,6,1.46185E+12
1.46187E+12,2,66,Anacostia Library,31804,1.46187E+12,38.865784,-76.9784,TRUE,FALSE,0,,FALSE,TRUE,6,5,1.46187E+12
1.46187E+12,2,67,Pennsylvania & Minnesota Ave SE,31805,1.46187E+12,38.873057,-76.971015,TRUE,FALSE,0,,FALSE,TRUE,9,2,1.46183E+12
1.46187E+12,2,68,Eastern Market / 7th & North Carolina Ave SE,31610,1.46187E+12,38.886952,-76.996806,TRUE,FALSE,0,,FALSE,TRUE,2,13,1.46186E+12
1.46187E+12,2,69,14th St & New York Ave NW,31216,1.46187E+12,38.899632,-77.031686,TRUE,FALSE,0,,FALSE,TRUE,10,9,1.46187E+12
1.46187E+12,2,70,Benning Branch Library,31705,1.46187E+12,38.894,-76.947974,TRUE,FALSE,0,,FALSE,TRUE,6,4,1.46183E+12
1.46187E+12,2,71,USDA / 12th & Independence Ave SW,31217,1.46187E+12,38.887237,-77.028226,TRUE,FALSE,0,,FALSE,TRUE,14,25,1.46187E+12
1.46187E+12,2,72,Georgetown Harbor / 30th St NW,31215,1.46187E+12,38.9022212,-77.059219,TRUE,FALSE,0,,FALSE,TRUE,4,14,1.46186E+12
1.46187E+12,2,73,12th & Newton St NE,31501,1.46187E+12,38.933668,-76.991016,TRUE,FALSE,0,,FALSE,TRUE,7,4,1.46186E+12
1.46187E+12,2,74,US Dept of State / Virginia Ave & 21st St NW,31220,1.46187E+12,38.894919,-77.046587,TRUE,FALSE,0,,FALSE,TRUE,5,9,1.46187E+12
1.46187E+12,2,75,L'Enfant Plaza / 7th & C St SW,31218,1.46187E+12,38.886266,-77.022241,TRUE,FALSE,0,,FALSE,TRUE,5,10,1.46187E+12
1.46187E+12,2,76,10th St & Constitution Ave NW,31219,1.46187E+12,38.893028,-77.026013,TRUE,FALSE,0,,FALSE,TRUE,13,18,1.46186E+12
1.46187E+12,2,77,Kennedy Center,31211,1.46187E+12,38.897293,-77.05557,TRUE,FALSE,0,,FALSE,TRUE,7,11,1.46187E+12
1.46187E+12,2,78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,1.46187E+12,38.884,-76.995397,TRUE,FALSE,0,,FALSE,TRUE,3,16,1.46187E+12
1.46187E+12,2,79,18th & M St NW,31221,1.46187E+12,38.904742,-77.041606,TRUE,FALSE,0,,FALSE,TRUE,10,9,1.46187E+12
1.46187E+12,2,80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,1.46187E+12,38.947607,-77.079382,TRUE,FALSE,0,,FALSE,TRUE,6,9,1.46187E+12
1.46187E+12,2,81,13th & H St NE,31611,1.46187E+12,38.9003,-76.9882,TRUE,FALSE,0,,FALSE,TRUE,15,12,1.46186E+12
1.46187E+12,2,82,5th & F St NW,31620,1.46187E+12,38.897222,-77.019347,TRUE,FALSE,0,,FALSE,TRUE,12,19,1.46187E+12
1.46187E+12,2,83,New York Ave & 15th St NW,31222,1.46187E+12,38.8991,-77.0337,TRUE,FALSE,0,,FALSE,TRUE,9,9,1.46187E+12
1.46187E+12,2,84,Convention Center / 7th & M St NW,31223,1.46187E+12,38.905737,-77.02227,TRUE,FALSE,0,,FALSE,TRUE,3,13,1.46186E+12
1.46187E+12,2,85,Harvard St & Adams Mill Rd NW,31112,1.46187E+12,38.927872,-77.043358,TRUE,FALSE,0,,FALSE,TRUE,4,11,1.46186E+12
1.46187E+12,2,86,19th & L St NW,31224,1.46187E+12,38.903407,-77.043648,TRUE,FALSE,0,,FALSE,TRUE,3,12,1.46186E+12
1.46187E+12,2,87,C & O Canal & Wisconsin Ave NW,31225,1.46187E+12,38.90375,-77.06269,TRUE,FALSE,0,,FALSE,TRUE,10,13,1.46186E+12
1.46187E+12,2,88,6th & Water St SW / SW Waterfront,31609,1.46187E+12,38.87675,-77.02127,TRUE,FALSE,0,,FALSE,TRUE,11,8,1.46185E+12
1.46187E+12,2,89,D St & Maryland Ave NE,31612,1.46187E+12,38.894758,-76.997114,TRUE,FALSE,0,,FALSE,TRUE,5,18,1.46187E+12
1.46187E+12,2,90,34th St & Wisconsin Ave NW,31226,1.46187E+12,38.916442,-77.0682,TRUE,FALSE,0,,FALSE,TRUE,8,2,1.46185E+12
